Class,Group,Genus
Bivalvia,Bivalvia_Arcoida,Africarca
Bivalvia,Bivalvia_Arcoida,Anadara
Bivalvia,Bivalvia_Arcoida,Arca
Bivalvia,Bivalvia_Arcoida,Arcopsis
Bivalvia,Bivalvia_Arcoida,Arginella
Bivalvia,Bivalvia_Arcoida,Arginopsis
Bivalvia,Bivalvia_Arcoida,Asperarca
Bivalvia,Bivalvia_Arcoida,Axinaea
Bivalvia,Bivalvia_Arcoida,Barbatia
Bivalvia,Bivalvia_Arcoida,Bathyarca
Bivalvia,Bivalvia_Arcoida,Calloarca
Bivalvia,Bivalvia_Arcoida,Cosa
Bivalvia,Bivalvia_Arcoida,Costaglycymeris
Bivalvia,Bivalvia_Arcoida,Cucullaea
Bivalvia,Bivalvia_Arcoida,Cucullaria
Bivalvia,Bivalvia_Arcoida,Dallarca
Bivalvia,Bivalvia_Arcoida,Eontia
Bivalvia,Bivalvia_Arcoida,Fugleria
Bivalvia,Bivalvia_Arcoida,Glycymeris
Bivalvia,Bivalvia_Arcoida,Grammatodon
Bivalvia,Bivalvia_Arcoida,Halonanus
Bivalvia,Bivalvia_Arcoida,Kikaiarca
Bivalvia,Bivalvia_Arcoida,Limarca
Bivalvia,Bivalvia_Arcoida,Limopsis
Bivalvia,Bivalvia_Arcoida,Lissarca
Bivalvia,Bivalvia_Arcoida,Nemodon
Bivalvia,Bivalvia_Arcoida,Noetia
Bivalvia,Bivalvia_Arcoida,Notogrammatodon
Bivalvia,Bivalvia_Arcoida,Notolimopsis
Bivalvia,Bivalvia_Arcoida,Nucunella
Bivalvia,Bivalvia_Arcoida,Ovalarca
Bivalvia,Bivalvia_Arcoida,Pachecoa
Bivalvia,Bivalvia_Arcoida,Pectunculina
Bivalvia,Bivalvia_Arcoida,Pectunculus
Bivalvia,Bivalvia_Arcoida,Philobrya
Bivalvia,Bivalvia_Arcoida,Plagiarca
Bivalvia,Bivalvia_Arcoida,Porterius
Bivalvia,Bivalvia_Arcoida,Protonoetia
Bivalvia,Bivalvia_Arcoida,Pseudogrammatodon
Bivalvia,Bivalvia_Arcoida,Quadrilatera
Bivalvia,Bivalvia_Arcoida,Scapharca
Bivalvia,Bivalvia_Arcoida,Senilia
Bivalvia,Bivalvia_Arcoida,Striarca
Bivalvia,Bivalvia_Arcoida,Trigonarca
Bivalvia,Bivalvia_Arcoida,Trigonodesma
Bivalvia,Bivalvia_Arcoida,Trinacria
Bivalvia,Bivalvia_Arcoida,Trisidos
Bivalvia,Bivalvia_Arcoida,Tucetona
Bivalvia,Bivalvia_Carditoida,Ainicardita
Bivalvia,Bivalvia_Carditoida,Astarte
Bivalvia,Bivalvia_Carditoida,Baluchicardia
Bivalvia,Bivalvia_Carditoida,Bathytormus
Bivalvia,Bivalvia_Carditoida,Beguina
Bivalvia,Bivalvia_Carditoida,Cardiocardita
Bivalvia,Bivalvia_Carditoida,Cardita
Bivalvia,Bivalvia_Carditoida,Carditamera
Bivalvia,Bivalvia_Carditoida,Carditella
Bivalvia,Bivalvia_Carditoida,Condylocardia
Bivalvia,Bivalvia_Carditoida,Condylocuna
Bivalvia,Bivalvia_Carditoida,Crassatella
Bivalvia,Bivalvia_Carditoida,Crassatellites
Bivalvia,Bivalvia_Carditoida,Crassatina
Bivalvia,Bivalvia_Carditoida,Crassicardia
Bivalvia,Bivalvia_Carditoida,Crassinella
Bivalvia,Bivalvia_Carditoida,Cuna
Bivalvia,Bivalvia_Carditoida,Cyclocardia
Bivalvia,Bivalvia_Carditoida,Digitaria
Bivalvia,Bivalvia_Carditoida,Eriphyla
Bivalvia,Bivalvia_Carditoida,Erycinella
Bivalvia,Bivalvia_Carditoida,Eucrassatella
Bivalvia,Bivalvia_Carditoida,Glans
Bivalvia,Bivalvia_Carditoida,Glyptoactis
Bivalvia,Bivalvia_Carditoida,Goodallia
Bivalvia,Bivalvia_Carditoida,Lirodiscus
Bivalvia,Bivalvia_Carditoida,Lunulicardita
Bivalvia,Bivalvia_Carditoida,Marvacrassatella
Bivalvia,Bivalvia_Carditoida,Megacardita
Bivalvia,Bivalvia_Carditoida,Milneria
Bivalvia,Bivalvia_Carditoida,Miodontiscus
Bivalvia,Bivalvia_Carditoida,Paraglans
Bivalvia,Bivalvia_Carditoida,Pleuromeris
Bivalvia,Bivalvia_Carditoida,Pteromeris
Bivalvia,Bivalvia_Carditoida,Purpurocardia
Bivalvia,Bivalvia_Carditoida,Salaputium
Bivalvia,Bivalvia_Carditoida,Scambula
Bivalvia,Bivalvia_Carditoida,Spissatella
Bivalvia,Bivalvia_Carditoida,Talabrica
Bivalvia,Bivalvia_Carditoida,Taxocardia
Bivalvia,Bivalvia_Carditoida,Tellidorella
Bivalvia,Bivalvia_Carditoida,Venericardia
Bivalvia,Bivalvia_Carditoida,Vetericardiella
Bivalvia,Bivalvia_Carditoida,Woodia
Bivalvia,Bivalvia_Limoida,Acesta
Bivalvia,Bivalvia_Limoida,Ctenoides
Bivalvia,Bivalvia_Limoida,Lima
Bivalvia,Bivalvia_Limoida,Limaria
Bivalvia,Bivalvia_Limoida,Limatula
Bivalvia,Bivalvia_Limoida,Limea
Bivalvia,Bivalvia_Limoida,Plicacesta
Bivalvia,Bivalvia_Limoida,Promantellum
Bivalvia,Bivalvia_Myoida,Aloidis
Bivalvia,Bivalvia_Myoida,Amotapas
Bivalvia,Bivalvia_Myoida,Amotapus
Bivalvia,Bivalvia_Myoida,Anapteris
Bivalvia,Bivalvia_Myoida,Bankia
Bivalvia,Bivalvia_Myoida,Barnea
Bivalvia,Bivalvia_Myoida,Bicorbula
Bivalvia,Bivalvia_Myoida,Bothrocorbula
Bivalvia,Bivalvia_Myoida,Caestocorbula
Bivalvia,Bivalvia_Myoida,Caryocorbula
Bivalvia,Bivalvia_Myoida,Corbula
Bivalvia,Bivalvia_Myoida,Corbulomya
Bivalvia,Bivalvia_Myoida,Cryptomya
Bivalvia,Bivalvia_Myoida,Cuneocorbula
Bivalvia,Bivalvia_Myoida,Cuspicorbula
Bivalvia,Bivalvia_Myoida,Cyrtopleura
Bivalvia,Bivalvia_Myoida,Erodona
Bivalvia,Bivalvia_Myoida,Ficusocorbula
Bivalvia,Bivalvia_Myoida,Hexacorbula
Bivalvia,Bivalvia_Myoida,Jouannetia
Bivalvia,Bivalvia_Myoida,Juliacorbula
Bivalvia,Bivalvia_Myoida,Kuphus
Bivalvia,Bivalvia_Myoida,Lentidium
Bivalvia,Bivalvia_Myoida,Martesia
Bivalvia,Bivalvia_Myoida,Mya
Bivalvia,Bivalvia_Myoida,Nausitora
Bivalvia,Bivalvia_Myoida,Panomya
Bivalvia,Bivalvia_Myoida,Paramya
Bivalvia,Bivalvia_Myoida,Parapholas
Bivalvia,Bivalvia_Myoida,Penitella
Bivalvia,Bivalvia_Myoida,Pholadidea
Bivalvia,Bivalvia_Myoida,Pholadopsis
Bivalvia,Bivalvia_Myoida,Pholas
Bivalvia,Bivalvia_Myoida,Platyodon
Bivalvia,Bivalvia_Myoida,Potamocorbula
Bivalvia,Bivalvia_Myoida,Raetomya
Bivalvia,Bivalvia_Myoida,Saxicavella
Bivalvia,Bivalvia_Myoida,Solidicorbula
Bivalvia,Bivalvia_Myoida,Sphenia
Bivalvia,Bivalvia_Myoida,Spheniopsis
Bivalvia,Bivalvia_Myoida,Succinodon
Bivalvia,Bivalvia_Myoida,Tenuicorbula
Bivalvia,Bivalvia_Myoida,Teredina
Bivalvia,Bivalvia_Myoida,Teredo
Bivalvia,Bivalvia_Myoida,Tiza
Bivalvia,Bivalvia_Myoida,Venatomya
Bivalvia,Bivalvia_Myoida,Vokesula
Bivalvia,Bivalvia_Myoida,Xylophaga
Bivalvia,Bivalvia_Myoida,Zirfaea
Bivalvia,Bivalvia_Pholadomyoida,Arcticlam
Bivalvia,Bivalvia_Pholadomyoida,Cardiomya
Bivalvia,Bivalvia_Pholadomyoida,Cuspidaria
Bivalvia,Bivalvia_Pholadomyoida,Laternula
Bivalvia,Bivalvia_Pholadomyoida,Neaeroporomya
Bivalvia,Bivalvia_Pholadomyoida,Periplomya
Bivalvia,Bivalvia_Pholadomyoida,Pholadomya
Bivalvia,Bivalvia_Pholadomyoida,Pleurophopsis
Bivalvia,Bivalvia_Pholadomyoida,Poromya
Bivalvia,Bivalvia_Protobranchia,Acharax
Bivalvia,Bivalvia_Protobranchia,Acila
Bivalvia,Bivalvia_Protobranchia,Adrana
Bivalvia,Bivalvia_Protobranchia,Australoneilo
Bivalvia,Bivalvia_Protobranchia,Austrotindaria
Bivalvia,Bivalvia_Protobranchia,Brevinucula
Bivalvia,Bivalvia_Protobranchia,Calorhadia
Bivalvia,Bivalvia_Protobranchia,Comitileda
Bivalvia,Bivalvia_Protobranchia,Crassoleda
Bivalvia,Bivalvia_Protobranchia,Deminucula
Bivalvia,Bivalvia_Protobranchia,Ennucula
Bivalvia,Bivalvia_Protobranchia,Iheringinucula
Bivalvia,Bivalvia_Protobranchia,Isoarca
Bivalvia,Bivalvia_Protobranchia,Jupiteria
Bivalvia,Bivalvia_Protobranchia,Leda
Bivalvia,Bivalvia_Protobranchia,Ledella
Bivalvia,Bivalvia_Protobranchia,Ledina
Bivalvia,Bivalvia_Protobranchia,Litorhadia
Bivalvia,Bivalvia_Protobranchia,Malletia
Bivalvia,Bivalvia_Protobranchia,Megayoldia
Bivalvia,Bivalvia_Protobranchia,Mesosaccella
Bivalvia,Bivalvia_Protobranchia,Minormalletia
Bivalvia,Bivalvia_Protobranchia,Neilo
Bivalvia,Bivalvia_Protobranchia,Neilonella
Bivalvia,Bivalvia_Protobranchia,Nucinella
Bivalvia,Bivalvia_Protobranchia,Nucula
Bivalvia,Bivalvia_Protobranchia,Nuculana
Bivalvia,Bivalvia_Protobranchia,Nuculina
Bivalvia,Bivalvia_Protobranchia,Nuculoma
Bivalvia,Bivalvia_Protobranchia,Orthoyoldia
Bivalvia,Bivalvia_Protobranchia,Ovaleda
Bivalvia,Bivalvia_Protobranchia,Polidevcia
Bivalvia,Bivalvia_Protobranchia,Portlandia
Bivalvia,Bivalvia_Protobranchia,Pronucula
Bivalvia,Bivalvia_Protobranchia,Propeleda
Bivalvia,Bivalvia_Protobranchia,Pseudoportlandia
Bivalvia,Bivalvia_Protobranchia,Pseudotindaria
Bivalvia,Bivalvia_Protobranchia,Saccella
Bivalvia,Bivalvia_Protobranchia,Sarepta
Bivalvia,Bivalvia_Protobranchia,Solemya
Bivalvia,Bivalvia_Protobranchia,Spineilo
Bivalvia,Bivalvia_Protobranchia,Tindariopsis
Bivalvia,Bivalvia_Protobranchia,Varinucula
Bivalvia,Bivalvia_Protobranchia,Yoldia
Bivalvia,Bivalvia_Protobranchia,Yoldiella
Bivalvia,Bivalvia_Protobranchia,Zealeda
Bivalvia,Bivalvia_Pteroidea,Abrachlamys
Bivalvia,Bivalvia_Pteroidea,Acutostrea
Bivalvia,Bivalvia_Pteroidea,Adipicola
Bivalvia,Bivalvia_Pteroidea,Adula
Bivalvia,Bivalvia_Pteroidea,Aequipecten
Bivalvia,Bivalvia_Pteroidea,Agerostrea
Bivalvia,Bivalvia_Pteroidea,Alectryonella
Bivalvia,Bivalvia_Pteroidea,Amusium
Bivalvia,Bivalvia_Pteroidea,Amussiopecten
Bivalvia,Bivalvia_Pteroidea,Amussium
Bivalvia,Bivalvia_Pteroidea,Amygdalum
Bivalvia,Bivalvia_Pteroidea,Annachlamys
Bivalvia,Bivalvia_Pteroidea,Anomia
Bivalvia,Bivalvia_Pteroidea,Arcomytilus
Bivalvia,Bivalvia_Pteroidea,Arcoperna
Bivalvia,Bivalvia_Pteroidea,Arcuatula
Bivalvia,Bivalvia_Pteroidea,Argopecten
Bivalvia,Bivalvia_Pteroidea,Atrina
Bivalvia,Bivalvia_Pteroidea,Aulacomya
Bivalvia,Bivalvia_Pteroidea,Austrohinnites
